post_id,category,post_text,timestamp
36,Carding,Zero-day exploits available for purchase.,2024-01-02 11:00:00
37,Carding,Best anonymous VPN for dark web access?,2024-01-02 12:00:00
38,Exploit Kits,Zero-day exploits available for purchase.,2024-01-02 13:00:00
39,Carding,Looking for buyers of stolen PayPal credentials.,2024-01-02 14:00:00
40,Trojan Deployment,We need volunteers for a DDoS attack on major bank sites.,2024-01-02 15:00:00
41,Hacking Tools,Best anonymous VPN for dark web access?,2024-01-02 16:00:00
42,Hacking Tools,"New exploit found in Windows 11, selling access.",2024-01-02 17:00:00
43,Ransomware,Anyone interested in malware development? I have samples.,2024-01-02 18:00:00
44,Phishing,Selling high-quality ransomware with encryption.,2024-01-02 19:00:00
45,Stolen Credentials,We need volunteers for a DDoS attack on major bank sites.,2024-01-02 20:00:00
46,Trojan Deployment,We need volunteers for a DDoS attack on major bank sites.,2024-01-02 21:00:00
47,Anonymity Services,Anyone interested in malware development? I have samples.,2024-01-02 22:00:00
48,Exploit Kits,Best anonymous VPN for dark web access?,2024-01-02 23:00:00
49,Trojan Deployment,"Dump of 10,000 stolen emails available.",2024-01-03 00:00:00
50,Phishing,Looking for botnet rental services. Need advice?,2024-01-03 01:00:00
51,DDoS-for-hire,"New exploit found in Windows 11, selling access.",2024-01-03 02:00:00
52,Phishing,Zero-day exploits available for purchase.,2024-01-03 03:00:00
53,Data Leaks,Best anonymous VPN for dark web access?,2024-01-03 04:00:00
54,Carding,Looking for buyers of stolen PayPal credentials.,2024-01-03 05:00:00
55,DDoS-for-hire,Looking for buyers of stolen PayPal credentials.,2024-01-03 06:00:00
56,Carding,"New exploit found in Windows 11, selling access.",2024-01-03 07:00:00
57,Trojan Deployment,Looking for buyers of stolen PayPal credentials.,2024-01-03 08:00:00
58,Carding,Looking for botnet rental services. Need advice?,2024-01-03 09:00:00
59,Ransomware,Zero-day exploits available for purchase.,2024-01-03 10:00:00
60,DDoS-for-hire,"New exploit found in Windows 11, selling access.",2024-01-03 11:00:00
61,DDoS-for-hire,Looking for botnet rental services. Need advice?,2024-01-03 12:00:00
62,Phishing,"Dump of 10,000 stolen emails available.",2024-01-03 13:00:00
63,Phishing,"Dump of 10,000 stolen emails available.",2024-01-03 14:00:00
64,Ransomware,Looking for buyers of stolen PayPal credentials.,2024-01-03 15:00:00
65,Data Leaks,Selling high-quality ransomware with encryption.,2024-01-03 16:00:00
66,Hacking Tools,Looking for botnet rental services. Need advice?,2024-01-03 17:00:00
67,Exploit Kits,Looking for buyers of stolen PayPal credentials.,2024-01-03 18:00:00
68,Phishing,Exclusive forum for hackers—invites only!,2024-01-03 19:00:00
69,Carding,"Dump of 10,000 stolen emails available.",2024-01-03 20:00:00
70,Carding,Looking for buyers of stolen PayPal credentials.,2024-01-03 21:00:00
71,Carding,Looking for botnet rental services. Need advice?,2024-01-03 22:00:00
72,Anonymity Services,We need volunteers for a DDoS attack on major bank sites.,2024-01-03 23:00:00
73,Trojan Deployment,Selling high-quality ransomware with encryption.,2024-01-04 00:00:00
74,Carding,We need volunteers for a DDoS attack on major bank sites.,2024-01-04 01:00:00
75,Ransomware,Looking for buyers of stolen PayPal credentials.,2024-01-04 02:00:00
76,Hacking Tools,Exclusive forum for hackers—invites only!,2024-01-04 03:00:00
77,Phishing,Zero-day exploits available for purchase.,2024-01-04 04:00:00
78,Trojan Deployment,Looking for botnet rental services. Need advice?,2024-01-04 05:00:00
79,Hacking Tools,Selling high-quality ransomware with encryption.,2024-01-04 06:00:00
80,Anonymity Services,Looking for botnet rental services. Need advice?,2024-01-04 07:00:00
81,DDoS-for-hire,"New exploit found in Windows 11, selling access.",2024-01-04 08:00:00
82,DDoS-for-hire,Looking for botnet rental services. Need advice?,2024-01-04 09:00:00
83,DDoS-for-hire,Looking for buyers of stolen PayPal credentials.,2024-01-04 10:00:00
84,Anonymity Services,"Dump of 10,000 stolen emails available.",2024-01-04 11:00:00
85,Anonymity Services,Zero-day exploits available for purchase.,2024-01-04 12:00:00
86,Phishing,Anyone interested in malware development? I have samples.,2024-01-04 13:00:00
87,Stolen Credentials,"New exploit found in Windows 11, selling access.",2024-01-04 14:00:00
88,Carding,Best anonymous VPN for dark web access?,2024-01-04 15:00:00
89,Hacking Tools,Zero-day exploits available for purchase.,2024-01-04 16:00:00
90,Anonymity Services,"Dump of 10,000 stolen emails available.",2024-01-04 17:00:00
91,Stolen Credentials,Looking for botnet rental services. Need advice?,2024-01-04 18:00:00
92,Anonymity Services,Looking for botnet rental services. Need advice?,2024-01-04 19:00:00
93,Exploit Kits,Anyone interested in malware development? I have samples.,2024-01-04 20:00:00
94,DDoS-for-hire,We need volunteers for a DDoS attack on major bank sites.,2024-01-04 21:00:00
95,Exploit Kits,"Dump of 10,000 stolen emails available.",2024-01-04 22:00:00
96,Carding,Zero-day exploits available for purchase.,2024-01-04 23:00:00
97,Stolen Credentials,Best anonymous VPN for dark web access?,2024-01-05 00:00:00
98,DDoS-for-hire,Looking for botnet rental services. Need advice?,2024-01-05 01:00:00
99,Exploit Kits,Selling high-quality ransomware with encryption.,2024-01-05 02:00:00
100,Anonymity Services,"Dump of 10,000 stolen emails available.",2024-01-05 03:00:00
101,Exploit Kits,Anyone interested in malware development? I have samples.,2024-01-05 04:00:00
102,Data Leaks,"Dump of 10,000 stolen emails available.",2024-01-05 05:00:00
103,Phishing,We need volunteers for a DDoS attack on major bank sites.,2024-01-05 06:00:00
104,Exploit Kits,Selling high-quality ransomware with encryption.,2024-01-05 07:00:00
105,DDoS-for-hire,Best anonymous VPN for dark web access?,2024-01-05 08:00:00
106,Hacking Tools,Exclusive forum for hackers—invites only!,2024-01-05 09:00:00
107,Anonymity Services,Best anonymous VPN for dark web access?,2024-01-05 10:00:00
108,Anonymity Services,Zero-day exploits available for purchase.,2024-01-05 11:00:00
109,Ransomware,Selling high-quality ransomware with encryption.,2024-01-05 12:00:00
110,Ransomware,Looking for botnet rental services. Need advice?,2024-01-05 13:00:00
111,Carding,Selling high-quality ransomware with encryption.,2024-01-05 14:00:00
112,Exploit Kits,We need volunteers for a DDoS attack on major bank sites.,2024-01-05 15:00:00
113,Carding,Anyone interested in malware development? I have samples.,2024-01-05 16:00:00
114,Hacking Tools,Zero-day exploits available for purchase.,2024-01-05 17:00:00
115,Exploit Kits,Looking for botnet rental services. Need advice?,2024-01-05 18:00:00
116,Trojan Deployment,"Dump of 10,000 stolen emails available.",2024-01-05 19:00:00
117,Anonymity Services,Selling high-quality ransomware with encryption.,2024-01-05 20:00:00
118,DDoS-for-hire,Looking for buyers of stolen PayPal credentials.,2024-01-05 21:00:00
119,Phishing,Anyone interested in malware development? I have samples.,2024-01-05 22:00:00
120,Trojan Deployment,Selling high-quality ransomware with encryption.,2024-01-05 23:00:00
121,Hacking Tools,"Dump of 10,000 stolen emails available.",2024-01-06 00:00:00
122,Anonymity Services,Zero-day exploits available for purchase.,2024-01-06 01:00:00
123,DDoS-for-hire,Exclusive forum for hackers—invites only!,2024-01-06 02:00:00
124,Ransomware,Exclusive forum for hackers—invites only!,2024-01-06 03:00:00
125,DDoS-for-hire,Best anonymous VPN for dark web access?,2024-01-06 04:00:00
126,Phishing,Best anonymous VPN for dark web access?,2024-01-06 05:00:00
127,Ransomware,Anyone interested in malware development? I have samples.,2024-01-06 06:00:00
128,Carding,Looking for botnet rental services. Need advice?,2024-01-06 07:00:00
129,Ransomware,Zero-day exploits available for purchase.,2024-01-06 08:00:00
130,Phishing,Best anonymous VPN for dark web access?,2024-01-06 09:00:00
131,Exploit Kits,Selling high-quality ransomware with encryption.,2024-01-06 10:00:00
132,Data Leaks,Selling high-quality ransomware with encryption.,2024-01-06 11:00:00
133,Anonymity Services,Best anonymous VPN for dark web access?,2024-01-06 12:00:00
134,Ransomware,Anyone interested in malware development? I have samples.,2024-01-06 13:00:00
135,Ransomware,We need volunteers for a DDoS attack on major bank sites.,2024-01-06 14:00:00
136,Exploit Kits,Looking for botnet rental services. Need advice?,2024-01-06 15:00:00
137,Ransomware,Exclusive forum for hackers—invites only!,2024-01-06 16:00:00
138,DDoS-for-hire,"New exploit found in Windows 11, selling access.",2024-01-06 17:00:00
139,DDoS-for-hire,Zero-day exploits available for purchase.,2024-01-06 18:00:00
140,Data Leaks,Looking for botnet rental services. Need advice?,2024-01-06 19:00:00
141,Anonymity Services,"Dump of 10,000 stolen emails available.",2024-01-06 20:00:00
142,Phishing,Exclusive forum for hackers—invites only!,2024-01-06 21:00:00
143,Hacking Tools,Best anonymous VPN for dark web access?,2024-01-06 22:00:00
144,Hacking Tools,"New exploit found in Windows 11, selling access.",2024-01-06 23:00:00
145,DDoS-for-hire,Exclusive forum for hackers—invites only!,2024-01-07 00:00:00
146,Anonymity Services,Anyone interested in malware development? I have samples.,2024-01-07 01:00:00
147,Hacking Tools,Exclusive forum for hackers—invites only!,2024-01-07 02:00:00
148,Stolen Credentials,Selling high-quality ransomware with encryption.,2024-01-07 03:00:00
149,Stolen Credentials,"New exploit found in Windows 11, selling access.",2024-01-07 04:00:00
150,Anonymity Services,Anyone interested in malware development? I have samples.,2024-01-07 05:00:00
151,Carding,"Dump of 10,000 stolen emails available.",2024-01-07 06:00:00
152,Anonymity Services,Zero-day exploits available for purchase.,2024-01-07 07:00:00
153,Phishing,Exclusive forum for hackers—invites only!,2024-01-07 08:00:00
154,Stolen Credentials,Exclusive forum for hackers—invites only!,2024-01-07 09:00:00
155,Stolen Credentials,We need volunteers for a DDoS attack on major bank sites.,2024-01-07 10:00:00
156,Phishing,Looking for buyers of stolen PayPal credentials.,2024-01-07 11:00:00
157,Ransomware,Exclusive forum for hackers—invites only!,2024-01-07 12:00:00
158,Stolen Credentials,Zero-day exploits available for purchase.,2024-01-07 13:00:00
159,Carding,"Dump of 10,000 stolen emails available.",2024-01-07 14:00:00
160,Hacking Tools,"Dump of 10,000 stolen emails available.",2024-01-07 15:00:00
161,Carding,"Dump of 10,000 stolen emails available.",2024-01-07 16:00:00
162,Phishing,Zero-day exploits available for purchase.,2024-01-07 17:00:00
163,Exploit Kits,Zero-day exploits available for purchase.,2024-01-07 18:00:00
164,Phishing,Exclusive forum for hackers—invites only!,2024-01-07 19:00:00
165,Ransomware,Selling high-quality ransomware with encryption.,2024-01-07 20:00:00
166,Data Leaks,Looking for buyers of stolen PayPal credentials.,2024-01-07 21:00:00
167,Exploit Kits,Exclusive forum for hackers—invites only!,2024-01-07 22:00:00
168,Carding,"Dump of 10,000 stolen emails available.",2024-01-07 23:00:00
169,Trojan Deployment,Looking for buyers of stolen PayPal credentials.,2024-01-08 00:00:00
170,DDoS-for-hire,"Dump of 10,000 stolen emails available.",2024-01-08 01:00:00
171,DDoS-for-hire,Zero-day exploits available for purchase.,2024-01-08 02:00:00
172,Data Leaks,Selling high-quality ransomware with encryption.,2024-01-08 03:00:00
173,Ransomware,"Dump of 10,000 stolen emails available.",2024-01-08 04:00:00
174,Carding,Zero-day exploits available for purchase.,2024-01-08 05:00:00
175,Phishing,"Dump of 10,000 stolen emails available.",2024-01-08 06:00:00
176,DDoS-for-hire,Best anonymous VPN for dark web access?,2024-01-08 07:00:00
177,Stolen Credentials,Looking for botnet rental services. Need advice?,2024-01-08 08:00:00
178,Data Leaks,Best anonymous VPN for dark web access?,2024-01-08 09:00:00
179,Trojan Deployment,Looking for botnet rental services. Need advice?,2024-01-08 10:00:00
180,Ransomware,Selling high-quality ransomware with encryption.,2024-01-08 11:00:00
181,Phishing,"New exploit found in Windows 11, selling access.",2024-01-08 12:00:00
182,Stolen Credentials,Looking for botnet rental services. Need advice?,2024-01-08 13:00:00
183,Hacking Tools,Exclusive forum for hackers—invites only!,2024-01-08 14:00:00
184,DDoS-for-hire,Selling high-quality ransomware with encryption.,2024-01-08 15:00:00
185,Phishing,Anyone interested in malware development? I have samples.,2024-01-08 16:00:00
186,Trojan Deployment,Anyone interested in malware development? I have samples.,2024-01-08 17:00:00
187,DDoS-for-hire,"New exploit found in Windows 11, selling access.",2024-01-08 18:00:00
188,Data Leaks,Selling high-quality ransomware with encryption.,2024-01-08 19:00:00
189,DDoS-for-hire,"Dump of 10,000 stolen emails available.",2024-01-08 20:00:00
190,DDoS-for-hire,We need volunteers for a DDoS attack on major bank sites.,2024-01-08 21:00:00
191,Anonymity Services,Anyone interested in malware development? I have samples.,2024-01-08 22:00:00
192,Exploit Kits,Exclusive forum for hackers—invites only!,2024-01-08 23:00:00
193,Exploit Kits,Selling high-quality ransomware with encryption.,2024-01-09 00:00:00
194,Hacking Tools,Best anonymous VPN for dark web access?,2024-01-09 01:00:00
195,Trojan Deployment,"Dump of 10,000 stolen emails available.",2024-01-09 02:00:00
196,Data Leaks,"New exploit found in Windows 11, selling access.",2024-01-09 03:00:00
197,Ransomware,Looking for buyers of stolen PayPal credentials.,2024-01-09 04:00:00
198,Stolen Credentials,Looking for buyers of stolen PayPal credentials.,2024-01-09 05:00:00
199,Trojan Deployment,Exclusive forum for hackers—invites only!,2024-01-09 06:00:00
200,Hacking Tools,Anyone interested in malware development? I have samples.,2024-01-09 07:00:00
201,Trojan Deployment,Best anonymous VPN for dark web access?,2024-01-09 08:00:00
202,Exploit Kits,Best anonymous VPN for dark web access?,2024-01-09 09:00:00
203,Exploit Kits,Looking for buyers of stolen PayPal credentials.,2024-01-09 10:00:00
204,Carding,Zero-day exploits available for purchase.,2024-01-09 11:00:00
205,Data Leaks,Exclusive forum for hackers—invites only!,2024-01-09 12:00:00
206,Carding,"New exploit found in Windows 11, selling access.",2024-01-09 13:00:00
207,DDoS-for-hire,Looking for botnet rental services. Need advice?,2024-01-09 14:00:00
208,Hacking Tools,Selling high-quality ransomware with encryption.,2024-01-09 15:00:00
209,DDoS-for-hire,We need volunteers for a DDoS attack on major bank sites.,2024-01-09 16:00:00
210,DDoS-for-hire,Anyone interested in malware development? I have samples.,2024-01-09 17:00:00
211,Phishing,Looking for buyers of stolen PayPal credentials.,2024-01-09 18:00:00
212,Hacking Tools,Zero-day exploits available for purchase.,2024-01-09 19:00:00
213,Stolen Credentials,Anyone interested in malware development? I have samples.,2024-01-09 20:00:00
214,Anonymity Services,Selling high-quality ransomware with encryption.,2024-01-09 21:00:00
215,Carding,"New exploit found in Windows 11, selling access.",2024-01-09 22:00:00
216,Carding,Zero-day exploits available for purchase.,2024-01-09 23:00:00
217,DDoS-for-hire,Zero-day exploits available for purchase.,2024-01-10 00:00:00
218,Phishing,Zero-day exploits available for purchase.,2024-01-10 01:00:00
219,Hacking Tools,Selling high-quality ransomware with encryption.,2024-01-10 02:00:00
220,Ransomware,Looking for buyers of stolen PayPal credentials.,2024-01-10 03:00:00
221,Phishing,Best anonymous VPN for dark web access?,2024-01-10 04:00:00
222,Stolen Credentials,Best anonymous VPN for dark web access?,2024-01-10 05:00:00
223,Stolen Credentials,Selling high-quality ransomware with encryption.,2024-01-10 06:00:00
224,Data Leaks,"New exploit found in Windows 11, selling access.",2024-01-10 07:00:00
225,Anonymity Services,We need volunteers for a DDoS attack on major bank sites.,2024-01-10 08:00:00
226,Carding,Looking for botnet rental services. Need advice?,2024-01-10 09:00:00
227,Trojan Deployment,Best anonymous VPN for dark web access?,2024-01-10 10:00:00
228,DDoS-for-hire,Best anonymous VPN for dark web access?,2024-01-10 11:00:00
229,Exploit Kits,Looking for botnet rental services. Need advice?,2024-01-10 12:00:00
230,Ransomware,Looking for buyers of stolen PayPal credentials.,2024-01-10 13:00:00
231,DDoS-for-hire,Looking for botnet rental services. Need advice?,2024-01-10 14:00:00
232,Carding,Anyone interested in malware development? I have samples.,2024-01-10 15:00:00
233,Trojan Deployment,Exclusive forum for hackers—invites only!,2024-01-10 16:00:00
234,Hacking Tools,We need volunteers for a DDoS attack on major bank sites.,2024-01-10 17:00:00
235,Trojan Deployment,Best anonymous VPN for dark web access?,2024-01-10 18:00:00
236,DDoS-for-hire,Best anonymous VPN for dark web access?,2024-01-10 19:00:00
237,Exploit Kits,Zero-day exploits available for purchase.,2024-01-10 20:00:00
238,Carding,Zero-day exploits available for purchase.,2024-01-10 21:00:00
239,Hacking Tools,"Dump of 10,000 stolen emails available.",2024-01-10 22:00:00
240,DDoS-for-hire,Best anonymous VPN for dark web access?,2024-01-10 23:00:00
241,Stolen Credentials,"New exploit found in Windows 11, selling access.",2024-01-11 00:00:00
242,DDoS-for-hire,Looking for botnet rental services. Need advice?,2024-01-11 01:00:00
243,Trojan Deployment,"New exploit found in Windows 11, selling access.",2024-01-11 02:00:00
244,Trojan Deployment,Selling high-quality ransomware with encryption.,2024-01-11 03:00:00
245,Anonymity Services,Exclusive forum for hackers—invites only!,2024-01-11 04:00:00
246,Phishing,Looking for buyers of stolen PayPal credentials.,2024-01-11 05:00:00
247,Trojan Deployment,"Dump of 10,000 stolen emails available.",2024-01-11 06:00:00
248,Hacking Tools,Exclusive forum for hackers—invites only!,2024-01-11 07:00:00
249,Data Leaks,Looking for botnet rental services. Need advice?,2024-01-11 08:00:00
250,Anonymity Services,Anyone interested in malware development? I have samples.,2024-01-11 09:00:00
251,Trojan Deployment,Best anonymous VPN for dark web access?,2024-01-11 10:00:00
252,Phishing,Selling high-quality ransomware with encryption.,2024-01-11 11:00:00
253,Hacking Tools,"Dump of 10,000 stolen emails available.",2024-01-11 12:00:00
254,DDoS-for-hire,Anyone interested in malware development? I have samples.,2024-01-11 13:00:00
255,Data Leaks,"Dump of 10,000 stolen emails available.",2024-01-11 14:00:00
256,DDoS-for-hire,Exclusive forum for hackers—invites only!,2024-01-11 15:00:00
257,Stolen Credentials,Zero-day exploits available for purchase.,2024-01-11 16:00:00
258,Stolen Credentials,Selling high-quality ransomware with encryption.,2024-01-11 17:00:00
259,Trojan Deployment,Best anonymous VPN for dark web access?,2024-01-11 18:00:00
260,Carding,Anyone interested in malware development? I have samples.,2024-01-11 19:00:00
261,Phishing,"Dump of 10,000 stolen emails available.",2024-01-11 20:00:00
262,Data Leaks,Selling high-quality ransomware with encryption.,2024-01-11 21:00:00
263,Ransomware,"New exploit found in Windows 11, selling access.",2024-01-11 22:00:00
264,Carding,"New exploit found in Windows 11, selling access.",2024-01-11 23:00:00
265,Hacking Tools,Exclusive forum for hackers—invites only!,2024-01-12 00:00:00
266,Anonymity Services,"Dump of 10,000 stolen emails available.",2024-01-12 01:00:00
267,Anonymity Services,We need volunteers for a DDoS attack on major bank sites.,2024-01-12 02:00:00
268,Ransomware,Looking for buyers of stolen PayPal credentials.,2024-01-12 03:00:00
269,Phishing,Best anonymous VPN for dark web access?,2024-01-12 04:00:00
270,Phishing,Best anonymous VPN for dark web access?,2024-01-12 05:00:00
271,DDoS-for-hire,Looking for buyers of stolen PayPal credentials.,2024-01-12 06:00:00
272,Carding,Looking for buyers of stolen PayPal credentials.,2024-01-12 07:00:00
273,Carding,"Dump of 10,000 stolen emails available.",2024-01-12 08:00:00
274,Hacking Tools,Looking for botnet rental services. Need advice?,2024-01-12 09:00:00
275,Carding,Looking for botnet rental services. Need advice?,2024-01-12 10:00:00
276,Data Leaks,Anyone interested in malware development? I have samples.,2024-01-12 11:00:00
277,Ransomware,Exclusive forum for hackers—invites only!,2024-01-12 12:00:00
278,Data Leaks,Best anonymous VPN for dark web access?,2024-01-12 13:00:00
279,Data Leaks,Selling high-quality ransomware with encryption.,2024-01-12 14:00:00
280,Ransomware,Looking for botnet rental services. Need advice?,2024-01-12 15:00:00
281,Trojan Deployment,"New exploit found in Windows 11, selling access.",2024-01-12 16:00:00
282,Carding,Zero-day exploits available for purchase.,2024-01-12 17:00:00
283,Ransomware,We need volunteers for a DDoS attack on major bank sites.,2024-01-12 18:00:00
284,Hacking Tools,"Dump of 10,000 stolen emails available.",2024-01-12 19:00:00
285,Carding,Anyone interested in malware development? I have samples.,2024-01-12 20:00:00
286,Exploit Kits,Exclusive forum for hackers—invites only!,2024-01-12 21:00:00
287,Data Leaks,Looking for buyers of stolen PayPal credentials.,2024-01-12 22:00:00
288,Carding,Exclusive forum for hackers—invites only!,2024-01-12 23:00:00
289,Ransomware,Looking for buyers of stolen PayPal credentials.,2024-01-13 00:00:00
290,DDoS-for-hire,Exclusive forum for hackers—invites only!,2024-01-13 01:00:00
291,Exploit Kits,We need volunteers for a DDoS attack on major bank sites.,2024-01-13 02:00:00
292,Trojan Deployment,Looking for botnet rental services. Need advice?,2024-01-13 03:00:00
293,Ransomware,Exclusive forum for hackers—invites only!,2024-01-13 04:00:00
294,Hacking Tools,Anyone interested in malware development? I have samples.,2024-01-13 05:00:00
295,Exploit Kits,Zero-day exploits available for purchase.,2024-01-13 06:00:00
296,Carding,Best anonymous VPN for dark web access?,2024-01-13 07:00:00
297,Carding,We need volunteers for a DDoS attack on major bank sites.,2024-01-13 08:00:00
298,DDoS-for-hire,Selling high-quality ransomware with encryption.,2024-01-13 09:00:00
299,DDoS-for-hire,Selling high-quality ransomware with encryption.,2024-01-13 10:00:00
300,Anonymity Services,We need volunteers for a DDoS attack on major bank sites.,2024-01-13 11:00:00
301,DDoS-for-hire,"Dump of 10,000 stolen emails available.",2024-01-13 12:00:00
302,Trojan Deployment,We need volunteers for a DDoS attack on major bank sites.,2024-01-13 13:00:00
303,Phishing,We need volunteers for a DDoS attack on major bank sites.,2024-01-13 14:00:00
304,DDoS-for-hire,"New exploit found in Windows 11, selling access.",2024-01-13 15:00:00
305,Ransomware,"Dump of 10,000 stolen emails available.",2024-01-13 16:00:00
306,Ransomware,"New exploit found in Windows 11, selling access.",2024-01-13 17:00:00
307,Stolen Credentials,Exclusive forum for hackers—invites only!,2024-01-13 18:00:00
308,Data Leaks,Looking for buyers of stolen PayPal credentials.,2024-01-13 19:00:00
309,Hacking Tools,Selling high-quality ransomware with encryption.,2024-01-13 20:00:00
310,Exploit Kits,Looking for buyers of stolen PayPal credentials.,2024-01-13 21:00:00
311,Ransomware,Best anonymous VPN for dark web access?,2024-01-13 22:00:00
312,DDoS-for-hire,Selling high-quality ransomware with encryption.,2024-01-13 23:00:00
313,Ransomware,We need volunteers for a DDoS attack on major bank sites.,2024-01-14 00:00:00
314,Trojan Deployment,Anyone interested in malware development? I have samples.,2024-01-14 01:00:00
315,Data Leaks,Looking for botnet rental services. Need advice?,2024-01-14 02:00:00
316,Ransomware,Exclusive forum for hackers—invites only!,2024-01-14 03:00:00
317,Hacking Tools,"New exploit found in Windows 11, selling access.",2024-01-14 04:00:00
318,Data Leaks,We need volunteers for a DDoS attack on major bank sites.,2024-01-14 05:00:00
319,Trojan Deployment,Looking for botnet rental services. Need advice?,2024-01-14 06:00:00
320,DDoS-for-hire,Looking for buyers of stolen PayPal credentials.,2024-01-14 07:00:00
321,Data Leaks,We need volunteers for a DDoS attack on major bank sites.,2024-01-14 08:00:00
322,Exploit Kits,Anyone interested in malware development? I have samples.,2024-01-14 09:00:00
323,Trojan Deployment,Best anonymous VPN for dark web access?,2024-01-14 10:00:00
324,Exploit Kits,"Dump of 10,000 stolen emails available.",2024-01-14 11:00:00
325,DDoS-for-hire,We need volunteers for a DDoS attack on major bank sites.,2024-01-14 12:00:00
326,Carding,Exclusive forum for hackers—invites only!,2024-01-14 13:00:00
327,Hacking Tools,Exclusive forum for hackers—invites only!,2024-01-14 14:00:00
328,Data Leaks,Best anonymous VPN for dark web access?,2024-01-14 15:00:00
329,Data Leaks,Exclusive forum for hackers—invites only!,2024-01-14 16:00:00
330,Exploit Kits,Exclusive forum for hackers—invites only!,2024-01-14 17:00:00
331,Phishing,Zero-day exploits available for purchase.,2024-01-14 18:00:00
332,Exploit Kits,Zero-day exploits available for purchase.,2024-01-14 19:00:00
333,Ransomware,We need volunteers for a DDoS attack on major bank sites.,2024-01-14 20:00:00
334,Stolen Credentials,Anyone interested in malware development? I have samples.,2024-01-14 21:00:00
335,Ransomware,"New exploit found in Windows 11, selling access.",2024-01-14 22:00:00
336,DDoS-for-hire,Exclusive forum for hackers—invites only!,2024-01-14 23:00:00
337,Phishing,Anyone interested in malware development? I have samples.,2024-01-15 00:00:00
338,Exploit Kits,"New exploit found in Windows 11, selling access.",2024-01-15 01:00:00
339,DDoS-for-hire,"Dump of 10,000 stolen emails available.",2024-01-15 02:00:00
340,Hacking Tools,"New exploit found in Windows 11, selling access.",2024-01-15 03:00:00
341,Stolen Credentials,Best anonymous VPN for dark web access?,2024-01-15 04:00:00
342,Phishing,Zero-day exploits available for purchase.,2024-01-15 05:00:00
343,Anonymity Services,Best anonymous VPN for dark web access?,2024-01-15 06:00:00
344,Phishing,Zero-day exploits available for purchase.,2024-01-15 07:00:00
345,Trojan Deployment,Zero-day exploits available for purchase.,2024-01-15 08:00:00
346,Hacking Tools,Looking for botnet rental services. Need advice?,2024-01-15 09:00:00
347,Hacking Tools,"Dump of 10,000 stolen emails available.",2024-01-15 10:00:00
348,Exploit Kits,"New exploit found in Windows 11, selling access.",2024-01-15 11:00:00
349,Stolen Credentials,Looking for buyers of stolen PayPal credentials.,2024-01-15 12:00:00
